Fecha,Medio,Título,Resumen
2025-06-02,Latitud Megalopólis CDMX (sitio),GARANTIZARÁ INE EL CONTEO DE VOTOS,"La noche del próximo 1 de junio, tras finalizar la jornada comicial, comenzará a operar el Sistema de Cómputos Distritales de la primera elección del Poder Judicial de la Federación (SCDPJF), mediante el cual, el Instituto Nacional Electoral (INE) realizará la sumatoria definitiva de los votos emitidos en cada uno de los Consejos Distritales instalados para este proceso electoral extraordinario, con el objetivo de garantizar el conteo íntegro y transparente de todos los sufragios."
2025-06-02,Terra.com.mx (sitio),Corte de agua en CDMX; estas son las alcaldías dónde reportan más fugas y suspenden el suministro,"La problemática de las fugas es una de las principales causas del desperdicio de agua en la CDMX y es un factor clave en la crisis hídrica que enfrenta la ciudad. Ante esto, se ha tenido que recurrir a cortes para cuidar del vital líquido, no obstante, es importante saber cuáles son las alcaldías dónde se reportan más pérdidas del recurso hídrico y suspenden el suministro."
2025-06-02,Maya Comunicación (Sitio),¡Atasco Monumental! Marchas y Caos Vial Paralizan la CDMX,Por Juan Pablo Ojeda
2025-06-02,Informe24 Net CDMX (Sitio),Advierten sobre toxicidad de cigarrillos electrónicos,"Aunque los vapeadores han sido promocionados como una alternativa para dejar el consumo de cigarrillos tradicionales, su uso es perjudicial para el corazón y los pulmones, afirmó el doctor Federico Rivas Vilchis, investigador del Departamento de Ciencias de la Salud de la Unidad Iztapalapa de la Universidad Autónoma Metropolitana (UAM)."
2025-06-02,Periodismo y Ambiente CDMX (sitio),"Pase UAM, muestra de responsabilidad social para contribuir a la equidad educativa","El impulso al Pase UAM da cuenta de la responsabilidad social que tiene la Universidad Autónoma Metropolitana (UAM) para contribuir a mejorar las oportunidades que tiene el alumnado y el egresado de la educación media superior, afirmó la maestra Rosalía Serrano de la Paz, directora de Sistemas Escolares de esta casa de estudios."
2025-06-02,El Portavoz Noticias BC (sitio),Consejo General del INE convoca a las y los ciudadanos a ejercer su derecho al voto en la primera elección del Poder Judicial de la Federación,"Votar es un derecho, pero también es una obligación cívica: Guadalupe Taddei"
2025-06-02,Forbes MX (sitio),Las 100 Mujeres más Poderosas de México 2025: 'Llegamos todas',"""No llego sola, llegamos todas"", dice la presidenta Claudia Sheinbaum Pardo frente a las mexicanas que dan testimonio de la primera mujer electa en las urnas para conducir el destino de México y quienes guardan la promesa de mejores condiciones para todas las mujeres."
2025-06-02,24-Horas.mx (Sitio),Mira las marchas y concentraciones para hoy 2 de junio,Aquí te decimos cuáles son las marchas y concentraciones que están previstas para este 2 de junio en la Ciudad de México.
2025-06-02,Posta CDMX (Sitio),Marchas CDMX: 1 marcha y 4 concentraciones afectarán la movilidad este lunes 2 de junio,"Comenzamos un nuevo mes. Para evitar contratiempos o pagar multas, aprovecha para realizar la verificación vehicular de tu auto."
2025-06-02,Mural JAL (sitio),Estudiantes del ITESO ganan torneo de robótica,"Con un robot que recolecta, clasifica y transporta granos de café, tres estudiantes de Ingeniería en Mecatrónica y uno de Ingeniería en Desarrollo de Software del Instituto Tecnológico y de Estudios Superiores de Occidente (ITESO), conquistaron el Torneo Mexicano de Robótica, celebrado en la Universidad Autónoma Metropolitana (UAM) en Iztapalapa, Ciudad de México."
2025-06-02,News Report MX (Sitio),Manifestaciones hoy en CDMX 2 de junio del 2025,¡Toma precauciones! Checa dónde y a qué hora habrá Marchas y Manifestaciones hoy en CDMX 2 de junio de 2025
2025-06-02,ADN 40 (Sitio),Marchas y bloqueos de la CNTE hoy afectarán calles y avenidas,"En este comienzo de semana habrá marchas y bloqueos de la Coordinadora Nacional de Trabajadores de la Educación (CNTE) en diferentes puntos de la Ciudad de México (CDMX), según la Agenda de Movilizaciones de la Secretaría de Seguridad Ciudadana de la capital. Para hoy se prevén afectaciones al menos seis alcaldías."
2025-06-02,Metro Noticias MX (Sitio),Es lunes se fue parte de los maestros pero siguen marchas y manifestaciones,"A pesar que se marchó parte de los maestros de la CNTE las manifestaciones es en la Ciudad de México continúan, aquí la agenda:"
2025-06-02,Publimetro (sitio),¿Dónde habrá marchas hoy lunes 2 de junio en CDMX? Consulta las vialidades cerradas,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán
2025-06-02,Uno TV Noticias (Sitio),"Movilizaciones en CDMX, hoy 2 de junio: marchas, concentraciones y plantones",La Ciudad de México (CDMX) será escenario este lunes 2 de junio de 2025 de múltiples actividades que podrían generar afectaciones viales.
