Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Fecha,Medio,Título,Resumen
2025-05-29 00:00:00,El Economista,¿A qué carreras y planteles podrán acceder los egresados del Colegio de Bachilleres?,Los estudiantes que no fueran seleccionados por Pase UAM podrán continuar SU proceso de admisión mediante examen.
2025-05-29 00:00:00,TV. Azteca MX (sitio),Pase UAM 2025: Conoce la lista de las carreras con más lugares para los estudiantes,Descubre cuáles son las carreras de la UAM con más lugares para el Pase Directo 2025. Y conoce las fechas claves de este acceso a la educación superior.
2025-05-28 00:00:00,DEPOR Medio Tiempo,¡Atención! Estas dos carreras NO entrarán en el Pase UAM 2025; conoce cuáles puedes elegir,"A pesar de que pueden elegir 57 licenciaturas, los estudiantes de COLBACH que apliquen el Pase UAM 2025 no podrán elegir estas dos carreras por esta razón."
2025-05-28 00:00:00,Monitoreo Especial 8,"La UAM inauguró la especialización en Medios Públicos, Creatividad e Innovación en Cuajimalpa y Xochimilco.","La Universidad Autónoma Metropolitana (UAM) ha inaugurado la especialización en Medios Públicos, Creatividad e Innovación, un posgrado que se impartirá en las unidades Cuajimalpa y Xochimilco. 
 
 La Secretaria General del Awam, Norma Rondero López, destacó que este programa, con una duración de tres trimestres, está diseñado para formar profesionales capaces de generar contenidos con responsabilidad social y compromiso democrático. 
 
 Rondero López subrayó la importancia de fortalecer los medios públicos a través de propuestas innovadoras y socialmente relevantes, en un momento crucial para la Comunicación en el país."
2025-05-28 00:00:00,Quadratín México (sitio),Pueblo distinguirá quienes buscan transformar al PJ: Ana María Ibarra,"CIUDAD DE MÉXICO, 28 de mayo de 2025.- En la recta final de su campaña, la candidata a Ministra de la Suprema Corte de Justicia de la Nación (SCJN) Ana María Ibarra Olguín convocó a las y los estudiantes de la Universidad Autónoma Metropolitana (UAM), Unidad Cuajimalpa, a participar activamente en la elección del próximo 1 de junio."
2025-05-28 00:00:00,EDT Estado del Tiempo MX (sitio),RTP moviliza a más de 240 mil estudiantes con Sendero Seguro en 2025,"Ciudad de México.- Durante los primeros cuatro meses de 2025, la Red de Transporte de Pasajeros (RTP) de la Ciudad de México ha logrado trasladar de manera segura, económica y eficiente a 242,242 estudiantes de nivel medio superior y superior a través del programa Sendero Seguro. Esta iniciativa tiene como objetivo proporcionar una alternativa de transporte que resguarde la integridad de miles de jóvenes, especialmente durante horarios extraordinarios y trayectos estratégicos."
2025-05-27 00:00:00,Noticias MVS (Sitio),Convocatoria UAM 2025: estas son las carreras que NO tienen pase directo de Bachilleres,"La UAM lanzó su convocatoria 2025 con pase directo para alumnos de Bachilleres, pero no todas las carreras participan. Aquí los detalles."
2025-05-27 00:00:00,El Universal (sitio),RTP ha movilizado más de 242 mil estudiantes a través del programa Sendero Seguro; estas son las escuelas beneficiadas,"El programa brinda una tarifa especial al mostrar una identificación escolar especial, además de seguridad durante el trayecto"
2025-05-27 00:00:00,Infobae América (Sitio),Pase UAM 2025: cuáles son las licenciaturas que no participan en el proceso,Quienes concluyen sexto semestre en el Colegio de Bachilleres podrán acceder a este proceso
2025-05-27 00:00:00,EDT Estado del Tiempo MX (sitio),RTP moviliza a más de 240 mil estudiantes con Sendero Seguro en 2025,"Ciudad de México.- Durante los primeros cuatro meses de 2025, la Red de Transporte de Pasajeros (RTP) de la Ciudad de México ha logrado trasladar de manera segura, económica y eficiente a 242,242 estudiantes de nivel medio superior y superior a través del programa Sendero Seguro. Esta iniciativa tiene como objetivo proporcionar una alternativa de transporte que resguarde la integridad de miles de jóvenes, especialmente durante horarios extraordinarios y trayectos estratégicos."
