,Fecha,Medio,Título,Resumen,Alcance
406,2025-06-03,El Universal (sitio),¿Por qué el gobierno no actúa ante el huachicoleo en la CFE?,"Una de las banderas del gobierno de Andrés Manuel López Obrador y ahora de la presidenta Claudia Sheinbaum, fue el combate a la corrupción. El expresidente decía que la corrupción, como las escaleras, se debe barrer de arriba hacia abajo. Esto es, se debe iniciar con altos funcionarios que se hayan beneficiado del dinero público y lo utilicen en su beneficio. Después de 7 años en el poder, esta promesa dista mucho de haberse cumplido a cabalidad. Muestra de ello son las alianzas que han realizado con personajes como Pedro Haces de la CATEM, o con los líderes charros de los sindicatos corporativos de la CTM, FSTSE, SNTE, STPRM, de triste historia en el sindicalismo mexicano y que han jugado el papel de control y sometimiento de los trabajadores en México.",757666
408,2025-06-03,Reforma.com (sitio),Avanza el cómputo 18.94% en dos días,"Con 3 mil 504 hojas de operaciones capturadas de la elección judicial hasta las 21:24 horas, el Instituto Electoral de la Ciudad de México (IECM) registraba un avance del 18.94 por ciento.",8200000
409,2025-06-03,La Razón ES (Sitio),"Amaya Mendikoetxea, reelegida rectora de la Universidad Autónoma de Madrid","Amaya Mendikoetxea ha sido elegida rectora de la Universidad Autónoma de Madrid (UAM), tras obtener el mayor número de votos ponderados en las elecciones celebradas ayer lunes. La catedrática de Lingüística Inglesa ha obtenido casi el 59% de los votos ponderados (58,73%), mientras que el catedrático de Teoría de la Señal y Comunicaciones Javier Ortega ha obtenido el 41,2%, según los datos provisionales.",4000
414,2025-06-03,Poder EDO.MEX (sitio),Finalistas del Premio INBAL-UAM 2024 reafirman la potencia de la danza contemporánea,"El escenario del Teatro Casa de la Paz, espacio emblemático de la Universidad Autónoma Metropolitana (UAM), fue testigo de una noche de gran intensidad artística con la presentación de dos piezas finalistas del Premio INBAL-UAM de Danza Contemporánea 2024: Apéndice de Producciones La Lágrima y Ocre: La línea ha muerto.",15000
415,2025-06-03,Sedema CDMX (sitio),"Inscríbete y participa en el ""Concurso Gastronómico Contemporáneo del Nopal y el Maguey""","La Secretaría del Medio Ambiente (SEDEMA), en colaboración con la Secretaría de Turismo (SECTUR), la Secretaría de Cultura de la Ciudad de México y la alcaldía Milpa Alta, llevará a cabo el ""Concurso Gastronómico Contemporáneo del Nopal y el Maguey"", el domingo 8 de junio, a las 13:30 horas, en el Monumento a la Revolución, como parte de las actividades de la Feria del Nopal 2025.",482000
416,2025-06-03,Milenio (sitio),"María Estela Ríos, la ex consejera jurídica de Presidencia que se integrará a la Corte",María Estela Ríos fue electa para formar parte de las ministras que integran la Suprema Corte. La abogada es identificada por su cercanía con el ex presidente Andrés Manuel López Obrador y por tener una carrera profesional siempre cercana a las corrientes de izquierda.,199654
417,2025-06-02,La Crónica de Hoy (sitio),Investigadores de la UAM diseñan una bebida simbiótica antidiabética a base de aguamiel,"La doctora Alma Elizabeth Cruz Guerrero encabeza un equipo que trabaja en la etapa básica del proyecto, que también busca favorecer a productores de agave",312000
418,2025-06-02,UAM CDMX (Sitio),El Mes de los de Casa; fortaleciendo a la comunidad UAM,Número 321,4000
419,2025-06-02,Expansión Política CDMX (sitio),"Brugada lanza 'Ciudad iluminada, mujer segura' con inversión de 1,700 mdp","Con la promesa de iluminar un total de 1,734 kilómetros de avenidas, calles y colonias de la Ciudad de México, la jefa de Gobierno, Clara Brugada, presentó el programa 'Ciudad iluminada, mujer segura' que representará una inversión de alrededor de 1,700 millones de pesos este 2025.",83400
420,2025-06-02,Canal 21 Capital 21,"Deportes, Informe Capital","- """"Ciclismo - Giro de Italia:"""" Isaac del Toro, un ciclista mexicano de 21 años, destacó en el Giro de Italia, convirtiéndose en el sexto ciclista más joven en subir al podio en la historia de la competencia. Ganó varias etapas y terminó con la maglia bianca, que lo reconoce como el mejor ciclista juvenil. Aunque perdió la maglia rosa en la última etapa, su desempeño fue notable y se prepara para el Tour de France.
 
 - """"Fútbol - Cruz Azul:"""" El equipo Cruz Azul logró una victoria contundente de 5-0 contra los Whitecaps de Canadá en un torneo internacional, empatando con América en títulos internacionales y ganando $4 millones. Sin embargo, la directiva decidió despedir al entrenador que les llevó al título, a pesar de su éxito.
 
 - """"Fútbol - América:"""" Las Águilas del América fueron eliminadas a pesar de tener una ventaja inicial de 1-0. Esta derrota impide su participación en el Mundial de Clubes, lo cual fue un golpe para el equipo.
 
 - """"Béisbol - Liga Mexicana:"""" El partido entre los Diablos Rojos del México y los Conspiradores de Querétaro fue suspendido por lluvia, pero los Diablos Rojos terminaron llevándose la victoria parcial con un marcador de 17-1.
 
 - """"Apoyo a Isaac del Toro:"""" En México, más de 5000 ciclistas se reunieron en el Ángel de la Independencia para apoyar y celebrar el éxito de Isaac del Toro, destacando el orgullo nacional que ha generado su desempeño en el ciclismo internacional.",25000
421,2025-06-02,Sedema CDMX (sitio),"Inscríbete y participa en el ""Concurso Gastronómico Contemporáneo del Nopal y el Maguey""","Podrán participar personas originarias de cualquier alcaldía de la Ciudad de México, con propuestas gastronómicas innovadoras que utilicen productos derivados del nopal y/o el maguey como ingrediente principal, registrándose en https://forms.gle/8RxNEQXtVzNXzLU88 hasta el 3 de junio.
 Se otorgarán premios en cuatro categorías: Plato fuerte-Cocina tradicional; Plato fuerte-Innovación; Postre-Cocina tradicional, y Postre-Innovación, el jurado evaluará gusto, presentación, textura, aroma y originalidad.
 La Secretaría del Medio Ambiente (SEDEMA), en colaboración con la Secretaría de Turismo (SECTUR), la Secretaría de Cultura de la Ciudad de México y la alcaldía Milpa Alta, llevará a cabo el ""Concurso Gastronómico Contemporáneo del Nopal y el Maguey"", el domingo 8 de junio, a las 13:30 horas, en el Monumento a la Revolución, como parte de las actividades de la Feria del Nopal 2025.",482000
