Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Fecha,Medio,Título,Resumen
2025-06-05 00:00:00,Uno TV Noticias (Sitio),"Movilizaciones en CDMX, hoy 5 de junio: marchas y concentraciones",La Ciudad de México (CDMX) espera este 5 de junio múltiples movilizaciones sociales que podrían generar afectaciones viales.
2025-06-05 00:00:00,24-Horas.mx (Sitio),Vicestrella.psd: arte y melancolía inquietante del paisaje capitalino,"En la intersección entre la memoria urbana, el horror folclórico y la estética digital de los años 2000, emerge el trabajo de Victor Estrella Ramos, mejor conocido como Vicestrella.psd."
2025-06-05 00:00:00,24-Horas.mx (Sitio),Vicestrella.psd: arte y melancolía inquietante del paisaje capitalino,"En la intersección entre la memoria urbana, el horror folclórico y la estética digital de los años 2000, emerge el trabajo de Victor Estrella Ramos, mejor conocido como Vicestrella.psd."
2025-06-05 00:00:00,24 Horas,Melancolía inquietante,"Vicestrella.psd llena SU arte inspirado en la Ciudad de México de nostalgia, terror y surrealismo."
2025-06-04 00:00:00,Diario 21 GRO (sitio),CDMX norte vs. CDMX sur: comparativa de precios y calidad de vida para compradores,"Al momento de evaluar opciones de departamentos en venta cdmx, una de las decisiones clave es elegir entre el norte o el sur de la ciudad. Ambas zonas ofrecen ventajas distintas en cuanto a movilidad, oferta cultural, infraestructura y, por supuesto, precio por metro cuadrado. Aunque muchas veces la elección depende del estilo de vida y el presupuesto de cada persona, también es cierto que algunas alcaldías se han consolidado como oportunidades de inversión más atractivas que otras."
2025-06-04 00:00:00,#NAME?,Un tour por los arboles de la CDMX,En estos recorridos guiados descubrirás la diversidad arborea que hay en sus espacios.
2025-06-03 00:00:00,TLAX El Sol de Tlaxcala,"Preocupante, tema de linchamientos","En Tlaxcala, Hidalgo y Puebla los linchamientos son un hecho reciente que tienen menos de una década respecto a otros puntos del país, pero las cifras registradas en los primeros cuatro meses de 2025 situaron a la entidad entre los primeros cinco lugares a nivel nacional, reveló Raúl Rodríguez Guillén, profesor e investigador en la Universidad Autónoma de Tlaxcala (UATx) y la Universidad Autónoma Metropolitana unidad Azcapotzalco."
2025-06-02 00:00:00,UAM CDMX (Sitio),El Mes de los de Casa; fortaleciendo a la comunidad UAM,Número 321
2025-06-02 00:00:00,Periodismo y Ambiente CDMX (sitio),"Pase UAM, muestra de responsabilidad social para contribuir a la equidad educativa","El impulso al Pase UAM da cuenta de la responsabilidad social que tiene la Universidad Autónoma Metropolitana (UAM) para contribuir a mejorar las oportunidades que tiene el alumnado y el egresado de la educación media superior, afirmó la maestra Rosalía Serrano de la Paz, directora de Sistemas Escolares de esta casa de estudios."
2025-06-02 00:00:00,Gaceta UNAM CDMX (sitio),El CCH celebra 50 años de tradición teatral,"Montaje de alumnos de la Escuela Nacional Colegio de Ciencias y Humanidades. Foto: cortesía CCH. La Escuela Nacional Colegio de Ciencias y Humanidades, a través de la Secretaría Estudiantil y el Departamento de Difusión Cultural, celebra el 50 Aniversario de la Muestra de Teatro del CCH, con un festejo en el que estudiantes de sus cinco planteles (Azcapotzalco, Naucalpan, Vallejo, Oriente y Sur) son los protagonistas de producir, dirigir y actuar sus propias obras."
2025-06-01 00:00:00,La Jornada,El arte de la palabra escrita: Ignacio Trejo Fuentes en la UAM,"Recuerdo entrañable de un escritor subvalorado, narrador, ensayista y catedrático universitario y periodista cultural, Ignacio Trejo Fuentes (1955-2024), autor de Hace un mes que no baila el Muñeco, Loquitas pintadas, Tres tristes tópicos: soledad, vejez Y muerte, entre otros títulos."
2025-05-31 00:00:00,La Silla Rota (sitio),Alumno denunciado por violencia de género demanda a la UAM,"En marzo de 2017, una estudiante de la Universidad Autónoma Metropolitana (UAM) Azcapotzalco denunció a un compañero por violación agravada, hostigamiento y acoso, y como medida precautoria, la universidad le prohibió al estudiante denunciado tener contacto con ella dentro del campus."
